,cod_com,cod_prov,cod_reg,den_com,den_prov,den_reg,pop,sigla,mean,std,median
1293,9014,9,7,Bormida,Savona,Liguria,357,SV,0.6338888875075749,0.32706541206797074,0.4925000071525574
1294,9015,9,7,Cairo Montenotte,Savona,Liguria,12729,SV,2.634560138843218,4.638608184637054,0.9200000166893005
1295,9016,9,7,Calice Ligure,Savona,Liguria,1722,SV,1.3193420995222895,1.3637647076370316,0.574999988079071
1296,9017,9,7,Calizzano,Savona,Liguria,1437,SV,0.6520963129679812,0.6865101335505993,0.4749999940395355
1297,9018,9,7,Carcare,Savona,Liguria,5434,SV,4.8165833204984665,5.442213876177662,2.487499952316284
1298,9019,9,7,Casanova Lerrone,Savona,Liguria,725,SV,0.8765671626845403,0.6815025060798462,0.6100000143051147
1299,9020,9,7,Castelbianco,Savona,Liguria,319,SV,0.6655421659170863,0.37370500924230077,0.5399999618530273
1300,9021,9,7,Castelvecchio di Rocca Barbena,Savona,Liguria,145,SV,0.805999994609091,0.6516774094077245,0.5349999666213989
1301,9022,9,7,Celle Ligure,Savona,Liguria,5075,SV,5.046110989870848,3.881597826828833,3.9199999570846558
1302,9023,9,7,Cengio,Savona,Liguria,3376,SV,2.359278843953059,2.187430953954698,1.3274999856948853
1303,9024,9,7,Ceriale,Savona,Liguria,5431,SV,7.862812472507358,8.373504212975938,3.8024998903274536
1304,9025,9,7,Cisano sul Neva,Savona,Liguria,2044,SV,2.3412878892638465,1.5670628170159688,2.0575000047683716
1305,9026,9,7,Cosseria,Savona,Liguria,1060,SV,2.1964179037222222,1.9165774739301944,1.3949999809265137
1306,9027,9,7,Dego,Savona,Liguria,1938,SV,0.8903263674236775,1.3475976420042945,0.5349999666213989
1307,9028,9,7,Erli,Savona,Liguria,217,SV,0.5494623652068518,0.32037232025482454,0.46000000834465027
1308,9029,9,7,Finale Ligure,Savona,Liguria,11229,SV,4.4765897442133,6.174091792002752,2.070000171661377
1309,9030,9,7,Garlenda,Savona,Liguria,1247,SV,2.814642848003478,2.3139076305604585,1.597499966621399
1310,9031,9,7,Giustenice,Savona,Liguria,1005,SV,1.1404210551788931,1.0196257606883823,0.6000000238418579
1311,9032,9,7,Giusvalla,Savona,Liguria,413,SV,0.6492342296484355,0.3746952004039215,0.5249999761581421
1312,9033,9,7,Laigueglia,Savona,Liguria,1746,SV,10.482187688350677,7.663745708912278,7.867500305175781
1313,9034,9,7,Loano,Savona,Liguria,10820,SV,7.06740507370309,9.49216332153129,2.365000009536743
1314,9035,9,7,Magliolo,Savona,Liguria,936,SV,1.2641071403133017,1.890234702084439,0.5399999618530273
1315,9036,9,7,Mallare,Savona,Liguria,1081,SV,0.7276388872000906,0.3535237047212772,0.625
1316,9037,9,7,Massimino,Savona,Liguria,108,SV,0.7357777721352048,0.509493152837367,0.5399999618530273
1317,9038,9,7,Millesimo,Savona,Liguria,3264,SV,3.741802291814671,6.191408676943208,1.0475000143051147
1318,9039,9,7,Mioglia,Savona,Liguria,503,SV,0.7729326859116554,0.6228480671421276,0.5099999904632568
1319,9040,9,7,Murialdo,Savona,Liguria,783,SV,0.6694212918756185,0.4604748162334888,0.5099999904632568
1320,9041,9,7,Nasino,Savona,Liguria,185,SV,0.5343548357486725,0.31939330679579153,0.4150000065565109
1321,9042,9,7,Noli,Savona,Liguria,2554,SV,3.8832352862638584,3.7868516705755653,2.384999990463257
1322,9043,9,7,Onzo,Savona,Liguria,216,SV,0.7988636371764269,0.31669971763252414,0.7325000166893005
1323,9044,9,7,Orco Feglino,Savona,Liguria,894,SV,1.269898977243539,1.2543221929034873,0.6549999713897705
1324,9045,9,7,Ortovero,Savona,Liguria,1596,SV,2.568879336118698,2.1763048680907717,1.7925000190734863
1325,9046,9,7,Osiglia,Savona,Liguria,447,SV,0.635222927400261,0.36905817814334013,0.48500001430511475
1326,9047,9,7,Pallare,Savona,Liguria,936,SV,1.0912288058612307,0.8683431776441821,0.7225000262260437
1327,9048,9,7,Piana Crixia,Savona,Liguria,792,SV,0.614248553624732,0.28979914321806777,0.5149999856948853
1328,9049,9,7,Pietra Ligure,Savona,Liguria,8477,SV,16.896666660904884,16.11341965209278,11.477499961853027
1329,9050,9,7,Plodio,Savona,Liguria,642,SV,1.7104999935626983,0.9564550293839966,1.5225000381469727
1330,9051,9,7,Pontinvrea,Savona,Liguria,833,SV,0.8287234040016823,0.7123648137468203,0.5099999904632568
1331,9052,9,7,Quiliano,Savona,Liguria,7061,SV,2.4640107952433525,5.970875583548633,0.9375
1332,9053,9,7,Rialto,Savona,Liguria,553,SV,0.6572272712534124,0.2737414069418334,0.5474999845027924
1333,9054,9,7,Roccavignale,Savona,Liguria,776,SV,1.2796039643264052,1.856794731966107,0.7100000381469727
